x,y,Position
18.89288,-23.94057,Analista de datos
-16.783756,4.3901634,Technical Leader BI
-13.47476,4.5662694,Consultor PIT Junior Power BI 
-2.059298,21.39271,Joven Profesional - IA & Cognitive
-25.738688,2.7005498,Data Analytic TS 
10.162259,-9.0863495,Servicio de atención al cliente
-19.710888,-14.696825,Senior Data Specialist
-34.68867,0.8064442,Software Developer Analyst
-5.731681,-19.434023,Director
-15.096746,-14.403969,Director of Data Analytics and Data Science
-24.006765,-8.618928,Data Scientist Ssr.
-23.586203,-20.400692,Data Scientist
-29.07121,-9.83307,Data Developer
-23.586203,-20.400692,Data Scientist
-27.607004,-4.20532,Data & Analytics Developer
-32.533302,-10.340057,Data Engineer
-13.191782,-6.7354727,Senior Project Manager
-14.212808,-1.4453597,Senior Consultant
-29.260094,-3.1867661,Data Scientist & Applied AI Specialist
-30.885237,9.5692425,Machine Learning Developer
-30.64426,-3.7859879,Junior Data Developer
-24.367023,-0.3027815,Data Analyst - Tableau Consultant
-37.17051,-2.5276613,Software Engineer
-23.589277,-20.391306,Data Scientist
2.785405,16.93605,Founder & CEO
-3.6117804,21.985256,Guitar and Music Teacher
-1.7021695,-0.4374861,CEO
-33.692852,-12.376344,Data Engineer
25.86382,4.8562746,Líder de Morosidad
14.464256,-1.673354,Actuario
-18.965954,-5.3786464,Technology and Operations Analyst
-17.630198,-10.2561,Data & Analytics Project Leader
-37.16927,-2.5257149,Software Engineer
8.088389,-0.75145847,Analista de datos en Customer Success Operations
-21.423916,-1.5744101,Business Intelligence Consultant
-16.518,-4.118588,Financial analyst
-21.523838,-7.0518394,BI Analyst
-21.790413,-5.713408,Business intelligence Analyst
4.026446,20.226332,Co-Founder
-2.802353,-10.052435,Especialista BI & Data Analytics Jr
13.7323885,-10.014647,Desarrolladora ETL
-2.8519363,-11.564335,Analista Data Digital
-21.42396,-1.574323,Business Intelligence Consultant
-6.1670184,26.716602,Shipping Probabilistic Forecasting Latam Leader
-1.6821107,-9.981358,Sr. Focal Point de Equipos BI & Analytics
-23.589788,-20.403027,Data Scientist
-28.738115,-6.652353,Sr Data & Analytics Engineer
-32.705738,-13.383153,Data Engineer
-29.04969,2.0298097,Data science
9.517476,-16.436274,Desarrollador/Analista Genexus
-25.296055,-4.2207522,SSr Data Scientist
-22.403606,-13.885431,Senior Data Scientist
12.953687,9.183182,Científico de datos
-24.948227,-10.620176,Data Scientist Semisenior
-14.7539,2.3491704,Project Consultant R+D+i
0.16704673,2.4779098,Cofounder y Director
-23.58942,-20.40379,Data Scientist
-14.718129,-22.009348,Data Analyst
-24.199936,-6.9925942,Data science Consultant
-24.394396,-6.430902,Data Scientist -Consultant
-20.022669,23.33924,Quality Data Analytics & Model Analyst II
-26.17909,-6.8078833,Data Engineering Manager
-24.199936,-6.9925942,Data Science Consultant
-10.599678,12.37493,Independent Consultor 
-30.4598,10.064706,Deep Learning Engineer
-25.514877,-9.51168,Sr. Data Analyst
18.892864,-23.831413,Analista de datos Jr
-29.071049,-9.832963,data developer
-29.450563,-2.3101192,Data Scientist / Data Analyst
-14.6955595,-22.007792,Data Analyst
5.03498,11.5873575,Coordinador general
18.892881,-23.940546,Analista de datos
-26.062431,-4.5166616,BI & Data Analyst
-19.604536,21.488804,Collections Analytics Consultant 
-13.011296,16.456146,BI Intern
18.807152,-22.647678,Ingeniero de datos
15.805126,6.728829,Gerente de Analítica Avanzada D.G.I.
-23.58942,-20.40379,Data Scientist
12.95369,9.183162,Científico de datos
-21.64906,-9.716379,Data Engineer Manager
-14.6955595,-22.007792,Data Analyst
-33.3192,12.180731,Machine Learning Engineer
-21.42396,-1.574323,Business Intelligence Consultant
-2.336689,-11.213449,Tutor de Data Analitycs
-1.1444123,22.53971,Consultora Design Data 
-29.04969,2.0298097,Data Science 
